feature_view,feature_view_label,channel,contrast,n_a,n_b,mean_a,mean_b,delta_mean_a_minus_b,mannwhitney_p_value,mannwhitney_q_value_bh_within_view_contrast
qc_cellular_tissue,QC cellular tissue,CK,low_IHC1_any_ISH_vs_zero_ISH_not_evaluated,35,43,0.18190242252232777,0.2474463828774187,-0.06554396035509094,0.0019729150842337888,0.014620132112963672
qc_cellular_tissue,QC cellular tissue,CK,low_IHC2_ISH_negative_vs_zero_ISH_negative,22,18,0.2053430703614845,0.2399954733616971,-0.034652403000212606,0.22635828441948858,0.22635828441948858
qc_cellular_tissue,QC cellular tissue,Ki67,low_IHC1_any_ISH_vs_zero_all,35,61,0.01559449409333793,0.014820592479766498,0.000773901613571432,0.15460080353418498,0.15460080353418498
qc_cellular_tissue,QC cellular tissue,Ki67,low_IHC2_ISH_negative_vs_zero_all,22,61,0.013942389736851322,0.014820592479766498,-0.0008782027429151754,0.1530115470846354,0.1530115470846354
qc_cellular_tissue,QC cellular tissue,Ki67,low_all_vs_zero_ISH_negative,57,18,0.014956839780308012,0.014590544262776534,0.0003662955175314786,0.1382224160078931,0.1382224160078931
qc_cellular_tissue,QC cellular tissue,Ki67,low_all_vs_zero_ISH_not_evaluated,57,43,0.014956839780308012,0.014916891733390203,3.9948046917809635e-05,0.15150032805997854,0.15150032805997854
qc_cellular_tissue,QC cellular tissue,Ki67,low_IHC1_any_ISH_vs_zero_ISH_not_evaluated,35,43,0.01559449409333793,0.014916891733390203,0.0006776023599477272,0.22798585837192442,0.22798585837192442
qc_cellular_tissue,QC cellular tissue,Ki67,low_IHC2_ISH_negative_vs_zero_ISH_negative,22,18,0.013942389736851322,0.014590544262776534,-0.0006481545259252111,0.15349804320678875,0.17542633509347286
ck_enriched_top50,CK-enriched top 50%,CD68,low_IHC1_any_ISH_vs_zero_all,35,61,0.02420426031165195,0.0278175308757417,-0.0036132705640897524,0.02675128760587804,0.030572900121003475
ck_enriched_top50,CK-enriched top 50%,CD68,low_IHC2_ISH_negative_vs_zero_all,22,61,0.02022986374377229,0.0278175308757417,-0.00758766713196941,0.011648083087622016,0.0339043644796086
ck_enriched_top50,CK-enriched top 50%,CD68,low_all_vs_zero_ISH_negative,57,18,0.02267028268896155,0.027792567159161532,-0.005122284470199981,0.014782769276991951,0.03461721426602359
ck_enriched_top50,CK-enriched top 50%,CD68,low_all_vs_zero_ISH_not_evaluated,57,43,0.02267028268896155,0.027827980803612467,-0.005157698114650916,0.018262630442662593,0.02291263611493466
ck_enriched_top50,CK-enriched top 50%,CD68,low_IHC1_any_ISH_vs_zero_ISH_not_evaluated,35,43,0.02420426031165195,0.027827980803612467,-0.003623720491960518,0.07212966724496149,0.08243390542281313
ck_enriched_top50,CK-enriched top 50%,CD68,low_IHC2_ISH_negative_vs_zero_ISH_negative,22,18,0.02022986374377229,0.027792567159161532,-0.007562703415389241,0.021604647881615015,0.05761239435097337
ck_enriched_top50,CK-enriched top 50%,PD-L1,low_IHC1_any_ISH_vs_zero_all,35,61,0.05970313326298527,0.06703307619870635,-0.007329942935721083,0.015819948860710614,0.021093265147614153
ck_enriched_top50,CK-enriched top 50%,PD-L1,low_IHC2_ISH_negative_vs_zero_all,22,61,0.05172777729179401,0.06703307619870635,-0.015305298906912346,0.012714136679853225,0.0339043644796086
ck_enriched_top50,CK-enriched top 50%,PD-L1,low_all_vs_zero_ISH_negative,57,18,0.05662492569515706,0.06955773344960943,-0.012932807754452366,0.009694993238306387,0.03461721426602359
ck_enriched_top50,CK-enriched top 50%,PD-L1,low_all_vs_zero_ISH_not_evaluated,57,43,0.05662492569515706,0.06597624293088647,-0.009351317235729406,0.014816392103956324,0.02291263611493466
ck_enriched_top50,CK-enriched top 50%,PD-L1,low_IHC1_any_ISH_vs_zero_ISH_not_evaluated,35,43,0.05970313326298527,0.06597624293088647,-0.0062731096679011986,0.04894310464210687,0.06525747285614249
ck_enriched_top50,CK-enriched top 50%,PD-L1,low_IHC2_ISH_negative_vs_zero_ISH_negative,22,18,0.05172777729179401,0.06955773344960943,-0.01782995615781542,0.01736878087507875,0.05761239435097337
ck_enriched_top50,CK-enriched top 50%,PD-1,low_IHC1_any_ISH_vs_zero_all,35,61,0.12615583271102304,0.16008304041967408,-0.03392720770865104,0.0042076659637961585,0.008619671177238483
ck_enriched_top50,CK-enriched top 50%,PD-1,low_IHC2_ISH_negative_vs_zero_all,22,61,0.11961221210248985,0.16008304041967408,-0.04047082831718424,0.010982184578648147,0.0339043644796086
ck_enriched_top50,CK-enriched top 50%,PD-1,low_all_vs_zero_ISH_negative,57,18,0.12363022475685233,0.1729523120006473,-0.049322087243794985,0.005352635500418335,0.03461721426602359
